2020-03-31 22:32:11.363053- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Aruba'), kwargs: {}, result: https://en.wikipedia.org/wiki/Aruba
2020-03-31 22:32:12.146074- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Afghanistan'), kwargs: {}, result: https://en.wikipedia.org/wiki/Afghanistan
2020-03-31 22:32:13.266385- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Angola'), kwargs: {}, result: https://en.wikipedia.org/wiki/Angola
2020-03-31 22:32:13.841633- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Anguilla'), kwargs: {}, result: https://en.wikipedia.org/wiki/Anguilla
2020-03-31 22:32:14.427234- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Åland Islands'), kwargs: {}, result: https://en.wikipedia.org/wiki/%C3%85land_Islands
2020-03-31 22:32:15.084194- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Albania'), kwargs: {}, result: https://en.wikipedia.org/wiki/Albania
2020-03-31 22:32:15.649422- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Andorra'), kwargs: {}, result: https://en.wikipedia.org/wiki/Andorra
2020-03-31 22:32:16.348710- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'United Arab Emirates'), kwargs: {}, result: https://en.wikipedia.org/wiki/United_Arab_Emirates
2020-03-31 22:32:17.024337- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Argentina'), kwargs: {}, result: https://en.wikipedia.org/wiki/Argentina
2020-03-31 22:32:17.594467- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Armenia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Armenia
2020-03-31 22:32:18.209346- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'American Samoa'), kwargs: {}, result: https://en.wikipedia.org/wiki/American_Samoa
2020-03-31 22:32:18.787128- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Antarctica'), kwargs: {}, result: https://en.wikipedia.org/wiki/Antarctica
2020-03-31 22:32:19.465443- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'French Southern and Antarctic Lands'), kwargs: {}, result: https://en.wikipedia.org/wiki/French_Southern_and_Antarctic_Lands
2020-03-31 22:32:20.101076- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Antigua and Barbuda'), kwargs: {}, result: https://en.wikipedia.org/wiki/Antigua_and_Barbuda
2020-03-31 22:32:20.833817- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Australia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Australia
2020-03-31 22:32:21.861462- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Austria'), kwargs: {}, result: https://en.wikipedia.org/wiki/Austria
2020-03-31 22:32:22.451419- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Azerbaijan'), kwargs: {}, result: https://en.wikipedia.org/wiki/Azerbaijan
2020-03-31 22:32:23.019454- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Burundi'), kwargs: {}, result: https://en.wikipedia.org/wiki/Burundi
2020-03-31 22:32:23.800342- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Belgium'), kwargs: {}, result: https://en.wikipedia.org/wiki/Belgium
2020-03-31 22:32:24.464833- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Benin'), kwargs: {}, result: https://en.wikipedia.org/wiki/Benin
2020-03-31 22:32:25.153142- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Burkina Faso'), kwargs: {}, result: https://en.wikipedia.org/wiki/Burkina_Faso
2020-03-31 22:32:25.674557- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bangladesh'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bangladesh
2020-03-31 22:32:26.338681- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bulgaria'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bulgaria
2020-03-31 22:32:26.918057- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bahrain'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bahrain
2020-03-31 22:32:27.446429- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bahamas'), kwargs: {}, result: https://en.wikipedia.org/wiki/The_Bahamas
2020-03-31 22:32:28.069463- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bosnia and Herzegovina'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
2020-03-31 22:32:28.835189- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Saint Barthélemy'), kwargs: {}, result: https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy
2020-03-31 22:32:29.529835- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Saint Helena, Ascension and Tristan da Cunha'), kwargs: {}, result: https://en.wikipedia.org/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha
2020-03-31 22:32:30.040959- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Belarus'), kwargs: {}, result: https://en.wikipedia.org/wiki/Belarus
2020-03-31 22:32:30.847766- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Belize'), kwargs: {}, result: https://en.wikipedia.org/wiki/Belize
2020-03-31 22:32:31.749781- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bermuda'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bermuda
2020-03-31 22:32:32.316453- name: get_url, args: (<__main__.CountriesIter object at 0x7f57d6110128>, 'Bolivia'), kwargs: {}, result: https://en.wikipedia.org/wiki/Bolivia
